MgvID,First_names,Initials,Last_name,Place_of_birth,Place_of_birth_code,Date_of_birth,Date_of_death,Sex,All_IDs
Mgv000020,Victoria Mary Augusta Louise Olga Pauline Claudine Agnes,VicMALOPCA,Teck,london,"51.5074456,-0.1277653",'1867-05-26,'1953-03-24,F,['royals_RPMAR_5']
Mgv000021,Claude George,ClaG,Bowes-Lyon,belgravia,"51.4982128,-0.1534998",'1855-03-14,'1944-11-07,M,['royals_RPMAR_6']
Mgv000022,Cecilia Nina,CecN,Cavendish-Bentinck,belgravia,"51.4982128,-0.1534998",'1862-09-11,'1938-06-23,F,['royals_RPMAR_7']
Mgv000023,Albert Edward,AlbE,Saxe-Coburg and Gotha,london,"51.5074456,-0.1277653",'1841-11-09,'1910-05-06,M,['royals_RPMAR_8']
Mgv000024,Alexandra Caroline Marie Charlotte Louise Julia,AleCMCLJ,Glücksburg,copenhagen,"55.6867243,12.5700724",'1844-12-01,'1925-11-20,F,['royals_RPMAR_9']
Mgv000025,Francis Paul Charles Louis Alexander,FraPCLA,Teck,esseg,"45.5548793,18.6953685",'1837-08-28,'1900-01-21,M,['royals_RPMAR_10']
Mgv000026,Mary Adelaide Wilhelmina Elizabeth,MarAWE,Hanover,hanover,"52.3744779,9.7385532",'1833-11-27,'1897-10-27,F,['royals_RPMAR_11']
Mgv000027,Claude George,ClaG,Lyon-Bowes,redbourn,"51.7985104,-0.3951486",'1841-07-21,'1944-11-07,M,['royals_RPMAR_12']
Mgv000028,Frances Dora,FraD,Smith,london,"51.5074456,-0.1277653",'1832-07-29,'1922-02-05,F,['royals_RPMAR_13']
Mgv000029,Charles William Frederick,ChaWF,Cavendish-Bentinck,london,"51.5074456,-0.1277653",'1817-11-08,'1865-08-17,M,['royals_RPMAR_14']
Mgv000030,Caroline Louisa,CarL,Burnaby,hungarton,"52.6562861,-0.9740514",'1832-12-05,'1918-07-06,F,['royals_RPMAR_15']
Mgv000031,Harald,Har,Glücksburg,asker,"59.6812603,10.474836",'1937-02-21, ,M,['royals_RKHV_1']
Mgv000032,Alexander Edward Christian Frederik,AleECF,Glücksburg,sandringham,"52.82737,0.51437",'1903-07-02,'1991-01-17,M,['royals_RKHV_2']
Mgv000033,Märtha Sofia Lovisa Dagmar Thyra,MärSLDT,Bernadotte,stockholm,"59.3251172,18.0710935",'1901-03-28,'1954-04-05,F,['royals_RKHV_3']
Mgv000034,Christian Frederik Carl Georg Valdemar Axel,ChrFCGVA,Glücksburg,copenhagen,"55.6867243,12.5700724",'1872-08-03,'1957-09-21,M,['royals_RKHV_4']
Mgv000035,Maud Charlotte Mary Victoria,MauCMV,Saxe-Coburg and Gotha,london,"51.5074456,-0.1277653",'1869-11-26,'1938-11-20,F,['royals_RKHV_5']
Mgv000036,Oscar Carl Wilhelm,OscCW,Bernadotte,stockholm,"59.3251172,18.0710935",'1861-02-27,'1951-10-24,M,['royals_RKHV_6']
Mgv000037,Ingeborg Charlotte Caroline Frederikke Louise,IngCCFL,Glücksburg,copenhagen,"55.6867243,12.5700724",'1878-08-02,'1958-03-12,F,['royals_RKHV_7']
Mgv000038,Christian Frederik Vilhelm Carl,ChrFVC,Glücksburg,copenhagen,"55.6867243,12.5700724",'1843-06-03,'1912-05-14,M,['royals_RKHV_8']
Mgv000039,Louise Josephine Eugenie,LouJE,Bernadotte,stockholm,"59.3251172,18.0710935",'1851-10-31,'1926-03-20,F,['royals_RKHV_9']
Mgv000040,Albert Edward,AlbE,Saxe-Coburg and Gotha,london,"51.5074456,-0.1277653",'1841-11-09,'1910-05-06,M,['royals_RKHV_10']
Mgv000041,Alexandra Caroline Marie Charlotte Louise Julia,AleCMCLJ,Glücksburg,copenhagen,"55.6867243,12.5700724",'1844-12-01,'1925-11-20,F,['royals_RKHV_11']
Mgv000042,Oscar Fredrik,OscF,Bernadotte,stockholm,"59.3251172,18.0710935",'1829-01-21,'1907-12-08,M,['royals_RKHV_12']
Mgv000043,Sophia Wilhelmine Marianne Henriette,SopWMH,Nassau-Weilburg,stockholm,"59.3251172,18.0710935",'1836-07-09,'1913-12-30,F,['royals_RKHV_13']
Mgv000044,Christian Frederik Vilhelm Carl,ChrFVC,Glücksburg,copenhagen,"55.6867243,12.5700724",'1843-06-03,'1912-05-14,M,['royals_RKHV_14']
Mgv000045,Louise Josephine Eugenie,LouJE,Bernadotte,stockholm,"59.3251172,18.0710935",'1851-10-31,'1926-03-20,F,['royals_RKHV_15']
Mgv000046,Philip,Phi,Glücksburg,corfu,"39.623889,19.921389",'1921-06-10,'2021-04-09,F,['royals_RPPHIL_1']
Mgv000047,Andrew,And,Glücksburg,athens,"37.984167,23.728056",'1882-02-02,'1944-12-03,M,['royals_RPPHIL_2']
Mgv000048,Victoria Alice Elizabeth Julia Marie,VicAEJM,Battenberg,windsor,"51.4791,-0.6095",'1885-02-25,'1969-12-05,F,['royals_RPPHIL_3']
Mgv000049,Christian William Ferdinand Adolph George,ChrWFAG,Glücksburg,copenhagen,"55.6867243,12.5700724",'1845-12-24,'1913-03-18,M,['royals_RPPHIL_4']
Mgv000050,Olga Constantinovna,OlgC,Romanov,saint petersburg,"59.9375,30.308611",'1851-09-03,'1926-06-18,F,['royals_RPPHIL_5']
Mgv000051,Louis Alexander,LouA,Battenberg,graz,"47.0708678,15.4382786",'1854-05-24,'1921-09-11,M,['royals_RPPHIL_6']
Mgv000052,Victoria Alberta Elisabeth Mathilde Marie,VicAEMM,Hesse-Darmstadt,windsor,"51.4791,-0.6095",'1863-04-05,'1950-09-24,F,['royals_RPPHIL_7']
Mgv000053,Christian,Chr,Glücksburg,copenhagen,"55.6867243,12.5700724",'1818-04-08,'1906-01-29,M,['royals_RPPHIL_8']
Mgv000054,Louise Wilhelmine Frederikke Caroline Auguste Julie,LouWFCAJ,Hesse-Kassel,kassel,"51.3157833,9.4978479",'1817-09-07,'1898-09-29,F,['royals_RPPHIL_9']
Mgv000055,Konstantin Nikolayevich Romanov,KonNR,Romanov,saint petersburg,"59.9375,30.308611",'1827-09-21,'1892-01-25,M,['royals_RPPHIL_10']
Mgv000056,Alexandra Friederike Henriette Pauline Marianne Elisabeth,AleFHPME,Saxe-Altenburg,altenburg,"50.9852411,12.4340988",'1830-07-08,'1911-07-06,F,['royals_RPPHIL_11']
Mgv000057,Alexander Ludwig Georg Friedrich Emil,AleLGFE,Hesse-Darmstadt,darmstadt,"49.872775,8.651177",'1823-07-15,'1888-12-15,M,['royals_RPPHIL_12']
Mgv000058,Julia Therese Salomea,JulTS,Hauke,warsaw,"52.2319581,21.0067249",'1825-11-24,'1895-09-19,F,['royals_RPPHIL_13']
Mgv000059,Frederick William Louis Charles,FreWLC,Hesse-Darmstadt,darmstadt,"49.872775,8.651177",'1837-11-12,'1892-03-13,M,['royals_RPPHIL_14']
Mgv000060,Alice Maud Mary,AliMM,Saxe-Coburg and Gotha,london,"51.5074456,-0.1277653",'1843-04-25,'1878-12-14,F,['royals_RPPHIL_15']
